historical_match_id,role_id,consultant_id,match_score_assigned_by_human,was_shortlisted,was_selected,client_feedback_score,placement_success,reason_selected_or_rejected,skill_gap_notes,outcome_notes
HM-016,R-002,C-009,4.5,No,No,,,"Rejected - available 2026-09-15, after required start-by date 2026-08-31","missing required: Regression Testing, SQL; missing preferred: Exploratory Testing; no Insurance domain background; 1 yrs vs 4 required",
HM-017,R-002,C-001,3.9,No,No,,,"Rejected - available 2026-10-18, after required start-by date 2026-08-31","missing required: Test Planning, Test Case Design, Regression Testing, API Automation; no preferred-skill coverage; no certifications on file (ISTQB Foundation preferred); 2 yrs vs 4 required",
HM-018,R-002,C-057,3.3,No,No,,,"Not shortlisted - missing required: Test Planning, Test Case Design, Regression Testing, API Automation, SQL","missing required: Test Planning, Test Case Design, Regression Testing, API Automation, SQL; no preferred-skill coverage; no Insurance domain background",
HM-019,R-002,C-005,3.0,No,No,,,"Not shortlisted - missing required: Test Planning, Test Case Design, Regression Testing, API Automation","missing required: Test Planning, Test Case Design, Regression Testing, API Automation; no preferred-skill coverage; adjacent domain only (FinTech); 2 yrs vs 4 required",
HM-020,R-002,C-034,2.1,No,No,,,"Rejected - available 2026-09-22, after required start-by date 2026-08-31","missing required: Test Planning, Test Case Design, Regression Testing, API Automation, SQL; no preferred-skill coverage; adjacent domain only (Healthcare); 2 yrs vs 4 required",
HM-021,R-003,C-038,6.8,Yes,Yes,3.4,Partial,"Selected - Covers 4/6 required skills (python, sql, spark, data modeling); direct healthcare domain experience; 8 yrs meets the 6-yr bar; prior client rating 4.5/5","missing required: Airflow, Snowflake; missing preferred: dbt",Mixed placement: client feedback 3.4/5; delivery acceptable with coaching.
HM-022,R-003,C-035,6.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Python, Airflow, Snowflake; missing preferred: Kafka",
HM-023,R-003,C-033,5.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Python, Airflow, Snowflake, Data Modeling; missing preferred: dbt, Kafka; 3 yrs vs 6 required",
HM-024,R-003,C-036,4.9,Yes,No,,,Rejected - lacks mandatory Healthcare domain experience,"missing required: Python, Spark, Airflow; missing preferred: dbt, Kafka; no Healthcare domain background",
HM-025,R-003,C-037,4.3,Yes,No,,,Rejected - lacks mandatory Healthcare domain experience,"missing preferred: dbt, Kafka; adjacent domain only (FinTech/Insurance)",
HM-026,R-003,C-014,4.2,No,No,,,Rejected - lacks mandatory Healthcare domain experience,"missing required: Spark, Airflow, Snowflake, Data Modeling; no preferred-skill coverage; no Healthcare domain background",
HM-027,R-003,C-040,3.1,No,No,,,Rejected - lacks mandatory Healthcare domain experience,"missing required: Spark, Airflow, Snowflake, Data Modeling; no preferred-skill coverage; no Healthcare domain background",
HM-028,R-003,C-055,2.9,No,No,,,Rejected - lacks mandatory Healthcare domain experience,"missing required: SQL, Spark, Airflow, Snowflake; no preferred-skill coverage; no Healthcare domain background; 3 yrs vs 6 required",
HM-029,R-003,C-034,2.9,No,No,,,Not shortlisted - profile under-documented at submission time; resume could not be validated quickly.,"missing required: SQL, Spark, Airflow, Data Modeling; missing preferred: dbt; 2 yrs vs 6 required",Retrospective: structured skills later verified as strong; missed candidate.
HM-030,R-003,C-043,2.0,No,No,,,Rejected - lacks mandatory Healthcare domain experience,"missing required: Python, SQL, Spark, Airflow, Snowflake, Data Modeling; no preferred-skill coverage; no Healthcare domain background",
HM-031,R-004,C-028,8.3,Yes,Yes,4.6,Yes,"Selected - Covers 4/5 required skills (react, node.js, typescript, sql); direct logistics domain experience; prior client rating 4.5/5",missing required: REST API Development; 16 yrs vs 4 required,Strong placement: client feedback 4.6/5; contract extended discussions underway.
HM-032,R-004,C-027,4.9,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Node.js, TypeScript, SQL; no preferred-skill coverage; no Retail domain background",
HM-033,R-004,C-031,4.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Node.js, SQL; no preferred-skill coverage; no certifications on file (AWS Developer Associate preferred); no Retail domain background; 1 yrs vs 4 required",
HM-034,R-004,C-073,3.9,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: React, Node.js, TypeScript, REST API Development, SQL; missing preferred: GraphQL, Unit Testing; no Retail domain background; 3 yrs vs 4 required",
HM-035,R-004,C-030,3.5,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: React, TypeScript, REST API Development, SQL; no Retail domain background; 1 yrs vs 4 required",
HM-036,R-004,C-026,3.1,No,No,,,"Not shortlisted - missing required: React, Node.js, REST API Development, SQL","missing required: React, Node.js, REST API Development, SQL; missing preferred: AWS, Unit Testing; no Retail domain background; 1 yrs vs 4 required",
HM-037,R-004,C-020,3.0,No,No,,,"Not shortlisted - missing required: React, Node.js, TypeScript, REST API Development, SQL","missing required: React, Node.js, TypeScript, REST API Development, SQL; no preferred-skill coverage; no Retail domain background",
HM-038,R-004,C-025,2.8,No,No,,,"Not shortlisted - missing required: React, TypeScript, REST API Development","missing required: React, TypeScript, REST API Development; no preferred-skill coverage; no Retail domain background",
HM-039,R-004,C-013,2.8,No,No,,,"Not shortlisted - missing required: React, Node.js, TypeScript, REST API Development","missing required: React, Node.js, TypeScript, REST API Development; missing preferred: GraphQL, Unit Testing; no certifications on file (AWS Developer Associate preferred); no Retail domain background",
HM-040,R-004,C-018,2.7,No,No,,,"Not shortlisted - missing required: React, Node.js, TypeScript, REST API Development, SQL","missing required: React, Node.js, TypeScript, REST API Development, SQL; missing preferred: GraphQL, Unit Testing; no Retail domain background",
HM-041,R-005,C-022,6.5,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Terraform; missing preferred: Monitoring, Helm; lacks required cert: Terraform Associate",
HM-042,R-005,C-017,5.4,Yes,Yes,3.1,Partial,Selected - Account manager pushed a familiar consultant from a previous project; skill coverage was weaker than alternates.,"missing required: AWS, Kubernetes, CI/CD; missing preferred: Helm; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background","Placement struggled: client feedback 3.1/5; gaps surfaced in missing required: AWS, Kubernetes, CI/CD. Contract completed but not extended."
HM-043,R-005,C-079,5.2,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Terraform, Kubernetes, Scripting; no preferred-skill coverage; lacks required cert: Terraform Associate",
HM-044,R-005,C-021,4.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Terraform; missing preferred: Helm; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background,
HM-045,R-005,C-023,4.0,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: AWS, Terraform, Scripting; missing preferred: Helm; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background; 2 yrs vs 6 required",
HM-046,R-005,C-024,3.8,No,No,,,"Not shortlisted - missing required: AWS, Terraform, Scripting","missing required: AWS, Terraform, Scripting; lacks required cert: Terraform Associate; no certifications on file (CKA preferred); no Energy/Manufacturing domain background; 2 yrs vs 6 required",
HM-047,R-005,C-077,3.5,No,No,,,"Not shortlisted - missing required: Terraform, Kubernetes, Scripting","missing required: Terraform, Kubernetes, Scripting; no preferred-skill coverage; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background; 2 yrs vs 6 required",
HM-048,R-005,C-041,3.3,No,No,,,"Not shortlisted - missing required: AWS, Scripting","missing required: AWS, Scripting; no preferred-skill coverage; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background; 1 yrs vs 6 required",
HM-049,R-005,C-019,3.0,No,No,,,"Not shortlisted - missing required: AWS, Terraform, CI/CD","missing required: AWS, Terraform, CI/CD; no preferred-skill coverage; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background; 1 yrs vs 6 required",
HM-050,R-005,C-005,2.7,No,No,,,"Not shortlisted - missing required: AWS, Terraform, Kubernetes, CI/CD, Scripting","missing required: AWS, Terraform, Kubernetes, CI/CD, Scripting; no preferred-skill coverage; lacks required cert: Terraform Associate; no Energy/Manufacturing domain background; 2 yrs vs 6 required",
HM-051,R-006,C-020,5.6,Yes,Yes,2.3,No,"Selected - Partial skill overlap only (azure, infrastructure as code); 8 yrs meets the 5-yr bar","missing required: Cloud Networking, Cloud Migration, Kubernetes; missing preferred: IAM & Security; no Telecom/Retail domain background",Placement ended early: client feedback 2.3/5.
HM-052,R-006,C-046,5.1,Yes,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),missing preferred: Cost Optimization; lacks required cert: Azure Administrator (AZ-104); communication score 2.2/5 vs high client emphasis,
HM-053,R-006,C-043,4.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Azure, Cloud Networking, Cloud Migration, Kubernetes; no Telecom/Retail domain background",
HM-054,R-006,C-041,4.5,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Infrastructure as Code, Cloud Networking; missing preferred: IAM & Security; no Telecom/Retail domain background; 1 yrs vs 5 required",
HM-055,R-006,C-045,4.4,Yes,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),missing preferred: IAM & Security; lacks required cert: Azure Administrator (AZ-104); no Telecom/Retail domain background,
HM-056,R-006,C-044,4.3,No,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),missing required: Azure; lacks required cert: Azure Administrator (AZ-104); no Telecom/Retail domain background,
HM-057,R-006,C-040,3.9,No,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),"missing required: Azure, Infrastructure as Code, Cloud Migration, Kubernetes; no preferred-skill coverage; lacks required cert: Azure Administrator (AZ-104); no Telecom/Retail domain background",
HM-058,R-006,C-048,3.7,No,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),"missing required: Azure, Cloud Migration, Kubernetes; missing preferred: Cost Optimization; lacks required cert: Azure Administrator (AZ-104); no Telecom/Retail domain background; 3 yrs vs 5 required",
HM-059,R-006,C-022,3.6,No,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),"missing required: Azure, Cloud Networking, Cloud Migration; no preferred-skill coverage; lacks required cert: Azure Administrator (AZ-104); no Telecom/Retail domain background; 16 yrs vs 5 required",
HM-060,R-006,C-029,3.0,No,No,,,Rejected - missing required certification (Azure Administrator (AZ-104)),"missing required: Infrastructure as Code, Cloud Networking, Cloud Migration, Kubernetes; no preferred-skill coverage; lacks required cert: Azure Administrator (AZ-104); no Telecom/Retail domain background",
HM-061,R-007,C-059,8.7,Yes,Yes,4.0,Yes,"Selected - Covers 3/4 required skills (scrum facilitation, sprint planning, backlog refinement); direct public sector domain experience; 7 yrs meets the 5-yr bar",missing required: Impediment Removal; lacks required cert: CSM,Strong placement: client feedback 4.0/5; contract extended discussions underway.
HM-062,R-007,C-060,7.6,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",lacks required cert: PSM I; no Public Sector/Healthcare domain background; communication score 2.5/5 vs high client emphasis,
HM-063,R-007,C-057,7.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Impediment Removal; no Public Sector/Healthcare domain background,
HM-064,R-007,C-058,4.9,Yes,No,,,Rejected - requires visa sponsorship; client cannot sponsor,missing required: Backlog Refinement; lacks required cert: CSM; adjacent domain only (FinTech/Insurance),
HM-065,R-007,C-008,4.6,Yes,No,,,Rejected - missing required certification (CSM or PSM I or PSM II),"missing required: Sprint Planning, Impediment Removal; no preferred-skill coverage; lacks required cert: CSM, PSM I; no Public Sector/Healthcare domain background",
HM-066,R-007,C-064,4.4,No,No,,,Rejected - missing required certification (CSM or PSM I or PSM II),"missing required: Backlog Refinement; lacks required cert: CSM, PSM I; no Public Sector/Healthcare domain background",
HM-067,R-007,C-065,3.5,No,No,,,Rejected - missing required certification (CSM or PSM I or PSM II),"missing required: Scrum Facilitation, Sprint Planning, Backlog Refinement, Impediment Removal; no preferred-skill coverage; lacks required cert: CSM, PSM I; no certifications on file (SAFe Scrum Master preferred); adjacent domain only (Insurance); 3 yrs vs 5 required",
HM-068,R-007,C-062,3.4,No,No,,,"Not shortlisted - missing required: Scrum Facilitation, Sprint Planning, Impediment Removal","missing required: Scrum Facilitation, Sprint Planning, Impediment Removal; lacks required cert: CSM, PSM I; no Public Sector/Healthcare domain background; 3 yrs vs 5 required; communication score 2.8/5 vs high client emphasis",
HM-069,R-007,C-001,3.0,No,No,,,Rejected - missing required certification (CSM or PSM I or PSM II),"missing required: Scrum Facilitation, Backlog Refinement, Impediment Removal; no preferred-skill coverage; lacks required cert: CSM, PSM I; no certifications on file (SAFe Scrum Master preferred); adjacent domain only (Banking/Insurance); 2 yrs vs 5 required",
HM-070,R-007,C-054,1.4,No,No,,,Rejected - missing required certification (CSM or PSM I or PSM II),"missing required: Scrum Facilitation, Sprint Planning, Backlog Refinement, Impediment Removal; no preferred-skill coverage; lacks required cert: CSM, PSM I; no Public Sector/Healthcare domain background",
HM-071,R-008,C-053,8.5,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",no FinTech/Banking domain background; communication score 2.3/5 vs high client emphasis,
HM-072,R-008,C-051,7.8,Yes,Yes,3.0,Partial,Selected - Client chose the candidate with the most polished interview presence over stronger technical coverage.,"missing required: LLM Integration, RAG Pipelines; 4 yrs vs 5 required","Placement struggled: client feedback 3.0/5; gaps surfaced in missing required: LLM Integration, RAG Pipelines. Contract completed but not extended."
HM-073,R-008,C-049,6.4,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",missing preferred: NLP; no FinTech/Banking domain background; 4 yrs vs 5 required,
HM-074,R-008,C-054,6.2,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: LLM Integration, RAG Pipelines; no preferred-skill coverage; no FinTech/Banking domain background",
HM-075,R-008,C-050,5.9,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Machine Learning, MLOps; no FinTech/Banking domain background; 4 yrs vs 5 required",
HM-076,R-008,C-038,4.7,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Machine Learning, LLM Integration, RAG Pipelines, MLOps; no preferred-skill coverage; no FinTech/Banking domain background",
HM-077,R-008,C-060,3.5,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Python, Machine Learning, LLM Integration, RAG Pipelines, MLOps; no preferred-skill coverage; no FinTech/Banking domain background; communication score 2.5/5 vs high client emphasis",
HM-078,R-008,C-080,3.1,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Python, Machine Learning, LLM Integration, RAG Pipelines, MLOps; no preferred-skill coverage; 2 yrs vs 5 required",
HM-079,R-008,C-056,3.0,No,No,,,"Not shortlisted - missing required: Python, Machine Learning, RAG Pipelines, MLOps","missing required: Python, Machine Learning, RAG Pipelines, MLOps; missing preferred: Prompt Engineering; no FinTech/Banking domain background; 3 yrs vs 5 required",
HM-080,R-008,C-034,2.5,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Machine Learning, LLM Integration, RAG Pipelines, MLOps; no preferred-skill coverage; no FinTech/Banking domain background; 2 yrs vs 5 required",
HM-081,R-009,C-071,9.5,Yes,Yes,4.8,Yes,"Selected - Covers all 4 required skills (sql, a/b testing, funnel analysis, dashboarding); direct retail domain experience; available 2026-08-23 with workable logistics; prior client rating 4.5/5",16 yrs vs 3 required,Strong placement: client feedback 4.8/5; contract extended discussions underway.
HM-082,R-009,C-072,6.6,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",no Logistics/Retail domain background; 15 yrs vs 3 required,
HM-083,R-009,C-007,6.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: A/B Testing, Funnel Analysis; missing preferred: User Research; 13 yrs vs 3 required",
HM-084,R-009,C-066,5.9,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: SQL; missing preferred: Cohort Analysis; no Logistics/Retail domain background,
HM-085,R-009,C-004,4.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: A/B Testing, Funnel Analysis, Dashboarding; missing preferred: Cohort Analysis; no Logistics/Retail domain background",
HM-086,R-009,C-068,4.2,No,No,,,"Not shortlisted - missing required: A/B Testing, Funnel Analysis, Dashboarding","missing required: A/B Testing, Funnel Analysis, Dashboarding; missing preferred: User Research; no Logistics/Retail domain background",
HM-087,R-009,C-035,4.1,No,No,,,"Not shortlisted - missing required: A/B Testing, Funnel Analysis, Dashboarding","missing required: A/B Testing, Funnel Analysis, Dashboarding; no preferred-skill coverage",
HM-088,R-009,C-069,3.9,No,No,,,"Not shortlisted - missing required: SQL, Funnel Analysis","missing required: SQL, Funnel Analysis; missing preferred: Cohort Analysis; no Logistics/Retail domain background; 2 yrs vs 3 required",
HM-089,R-009,C-065,3.6,No,No,,,"Not shortlisted - missing required: SQL, A/B Testing, Dashboarding","missing required: SQL, A/B Testing, Dashboarding; no certifications on file (CSPO preferred); no Logistics/Retail domain background",
HM-090,R-009,C-061,3.2,No,No,,,"Not shortlisted - missing required: SQL, A/B Testing, Funnel Analysis, Dashboarding","missing required: SQL, A/B Testing, Funnel Analysis, Dashboarding; no preferred-skill coverage; no Logistics/Retail domain background; 13 yrs vs 3 required",
HM-091,R-010,C-079,10.0,Yes,Yes,4.7,Yes,"Selected - Covers all 4 required skills (test automation framework design, api automation, ci integration, selenium); direct energy domain experience; 11 yrs meets the 4-yr bar; behavioral profile fits role priorities",None significant,Strong placement: client feedback 4.7/5; contract extended discussions underway.
HM-092,R-010,C-078,6.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Selenium; no Manufacturing/Energy domain background,
HM-093,R-010,C-075,6.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: API Automation, CI Integration, Selenium",
HM-094,R-010,C-074,6.1,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Selenium; missing preferred: Performance Testing; no Manufacturing/Energy domain background,
HM-095,R-010,C-011,5.8,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: API Automation, CI Integration; no preferred-skill coverage",
HM-096,R-010,C-076,5.2,No,No,,,"Not shortlisted - missing required: API Automation, CI Integration, Selenium","missing required: API Automation, CI Integration, Selenium; missing preferred: Performance Testing; no Manufacturing/Energy domain background",
HM-097,R-010,C-077,4.0,No,No,,,"Not shortlisted - missing required: API Automation, Selenium","missing required: API Automation, Selenium; no preferred-skill coverage; no Manufacturing/Energy domain background; 2 yrs vs 4 required",
HM-098,R-010,C-052,3.6,No,No,,,"Not shortlisted - missing required: Test Automation Framework Design, API Automation, CI Integration, Selenium","missing required: Test Automation Framework Design, API Automation, CI Integration, Selenium; no preferred-skill coverage; no Manufacturing/Energy domain background",
HM-099,R-010,C-009,3.4,No,No,,,"Not shortlisted - missing required: Test Automation Framework Design, CI Integration","missing required: Test Automation Framework Design, CI Integration; no preferred-skill coverage; no Manufacturing/Energy domain background; 1 yrs vs 4 required",
HM-100,R-010,C-070,2.6,No,No,,,"Not shortlisted - missing required: Test Automation Framework Design, API Automation, CI Integration, Selenium","missing required: Test Automation Framework Design, API Automation, CI Integration, Selenium; no preferred-skill coverage; no certifications on file (ISTQB Foundation preferred); no Manufacturing/Energy domain background",
HM-101,R-011,C-019,5.9,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Azure, CI/CD, Docker; missing preferred: Helm, Infrastructure as Code; 1 yrs vs 4 required",
HM-102,R-011,C-021,5.5,Yes,Yes,2.9,No,Selected - Selected for lowest bill rate; two shortlisted candidates had stronger skill and domain fit.,"missing required: Azure, Docker; missing preferred: Helm; no Banking/FinTech domain background","Placement struggled: client feedback 2.9/5; gaps surfaced in missing required: Azure, Docker."
HM-103,R-011,C-023,5.5,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Docker, Scripting; no preferred-skill coverage; 2 yrs vs 4 required",
HM-104,R-011,C-041,5.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Scripting; missing preferred: Helm, Infrastructure as Code; no Banking/FinTech domain background; 1 yrs vs 4 required",
HM-105,R-011,C-017,5.0,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Azure, Kubernetes, CI/CD, Docker; missing preferred: Helm, GitOps; no Banking/FinTech domain background",
HM-106,R-011,C-018,4.6,No,No,,,"Not shortlisted - missing required: Azure, Kubernetes, CI/CD, Docker, Scripting","missing required: Azure, Kubernetes, CI/CD, Docker, Scripting; missing preferred: Helm; no Banking/FinTech domain background",
HM-107,R-011,C-049,3.8,No,No,,,"Not shortlisted - missing required: Kubernetes, CI/CD, Scripting","missing required: Kubernetes, CI/CD, Scripting; no preferred-skill coverage; no Banking/FinTech domain background",
HM-108,R-011,C-024,2.8,No,No,,,"Not shortlisted - missing required: Azure, Docker, Scripting","missing required: Azure, Docker, Scripting; missing preferred: GitOps, Infrastructure as Code; no certifications on file (Azure DevOps Engineer (AZ-400) preferred); no Banking/FinTech domain background; 2 yrs vs 4 required",
HM-109,R-011,C-073,2.6,No,No,,,"Not shortlisted - missing required: Azure, Kubernetes, CI/CD, Scripting","missing required: Azure, Kubernetes, CI/CD, Scripting; no preferred-skill coverage; no Banking/FinTech domain background; 3 yrs vs 4 required",
HM-110,R-011,C-014,2.3,No,No,,,"Not shortlisted - missing required: Azure, Kubernetes, CI/CD, Docker, Scripting","missing required: Azure, Kubernetes, CI/CD, Docker, Scripting; no preferred-skill coverage; no Banking/FinTech domain background",
HM-111,R-012,C-007,8.7,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",adjacent domain only (Logistics/Retail/Public Sector); 13 yrs vs 4 required,
HM-112,R-012,C-006,7.4,Yes,Yes,3.9,Yes,"Selected - Covers 3/4 required skills (process mapping, data analysis, sql); direct healthcare domain experience; 7 yrs meets the 4-yr bar; available 2026-08-18 with workable logistics",missing required: Requirements Elicitation; missing preferred: Gap Analysis; no certifications on file (CCBA preferred),Strong placement: client feedback 3.9/5; contract extended discussions underway.
HM-113,R-012,C-001,7.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Requirements Elicitation, Process Mapping; no certifications on file (CCBA preferred); 2 yrs vs 4 required",
HM-114,R-012,C-003,5.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Requirements Elicitation, Data Analysis; no Healthcare/Insurance domain background; communication score 2.5/5 vs high client emphasis",
HM-115,R-012,C-004,5.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Process Mapping, Data Analysis; missing preferred: Gap Analysis; no Healthcare/Insurance domain background",
HM-116,R-012,C-061,5.2,No,No,,,"Not shortlisted - missing required: Requirements Elicitation, Data Analysis, SQL","missing required: Requirements Elicitation, Data Analysis, SQL; no preferred-skill coverage; adjacent domain only (Energy/Manufacturing/FinTech); 13 yrs vs 4 required",
HM-117,R-012,C-002,4.3,No,No,,,"Not shortlisted - missing required: Process Mapping, Data Analysis","missing required: Process Mapping, Data Analysis; missing preferred: Gap Analysis; adjacent domain only (Banking/Public Sector); 1 yrs vs 4 required",
HM-118,R-012,C-060,3.9,No,No,,,"Not shortlisted - missing required: Requirements Elicitation, Process Mapping, Data Analysis, SQL","missing required: Requirements Elicitation, Process Mapping, Data Analysis, SQL; missing preferred: Gap Analysis; no Healthcare/Insurance domain background; communication score 2.5/5 vs high client emphasis",
HM-119,R-012,C-066,3.2,No,No,,,"Not shortlisted - missing required: Requirements Elicitation, Process Mapping, Data Analysis, SQL","missing required: Requirements Elicitation, Process Mapping, Data Analysis, SQL; no preferred-skill coverage; adjacent domain only (Public Sector); 3 yrs vs 4 required",
HM-120,R-012,C-054,3.0,No,No,,,"Not shortlisted - missing required: Requirements Elicitation, Process Mapping, Data Analysis","missing required: Requirements Elicitation, Process Mapping, Data Analysis; no preferred-skill coverage; no Healthcare/Insurance domain background",
HM-121,R-013,C-013,8.1,Yes,Yes,4.0,Yes,"Selected - Covers all 4 required skills (aws, python, accessibility testing, test data management); 8 yrs meets the 4-yr bar; available 2026-09-04 with workable logistics",no certifications on file (ISTQB Foundation preferred); no Banking/FinTech domain background,Strong placement: client feedback 4.0/5; contract extended discussions underway.
HM-122,R-013,C-100,8.0,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",missing preferred: SQL; no Banking/FinTech domain background,
